review_id,text,business_category,aspect,sentiment,star_rating
7238,لا يوجد الدفع بالبطاقه عند الاستلام,ecommerce,general,neutral,3
1036,المكان نضيف وجميل وقعدته تحفه والخدمة فوق الممتاز والجو جميل مكان اكتر من رائع بصراحة ❤️❤️❤️❤️,كافيه,service,positive,5
1036,المكان نضيف وجميل وقعدته تحفه والخدمة فوق الممتاز والجو جميل مكان اكتر من رائع بصراحة ❤️❤️❤️❤️,كافيه,ambiance,positive,5
1975,تجربة سيئة سالتهم الاكل هياخد وقت قد ايه قالولي نص ساعة فعد ساعة ونص الاكل يعني كويس ولكن كمية قليلة جدا,مطعم,food,negative,1
3024,احلي مكان فزايد,مطعم مأكولات ومشروبات,ambiance,positive,5
5483,الفطير حلو جدا الاحجام تحفة بالنسبه للسعر فا يعتبر من احسن الاسعار البيتزا للاسف ما فيش اوبشن تختار عجينه سميكه ولا رفيعه كلها رفيعه حتس لو طلبتها سميكه هتجيلك رفيعه انما الحشو تمام و طعم حلو الكريب حلو بس نوع الكاتشب وحش اوي مسكر جدا يموع النفس و بيقلب لون فا محدش يطلب كريب بكاتشب خالص,مطعم,food,positive,4
5483,الفطير حلو جدا الاحجام تحفة بالنسبه للسعر فا يعتبر من احسن الاسعار البيتزا للاسف ما فيش اوبشن تختار عجينه سميكه ولا رفيعه كلها رفيعه حتس لو طلبتها سميكه هتجيلك رفيعه انما الحشو تمام و طعم حلو الكريب حلو بس نوع الكاتشب وحش اوي مسكر جدا يموع النفس و بيقلب لون فا محدش يطلب كريب بكاتشب خالص,مطعم,price,positive,4
5483,الفطير حلو جدا الاحجام تحفة بالنسبه للسعر فا يعتبر من احسن الاسعار البيتزا للاسف ما فيش اوبشن تختار عجينه سميكه ولا رفيعه كلها رفيعه حتس لو طلبتها سميكه هتجيلك رفيعه انما الحشو تمام و طعم حلو الكريب حلو بس نوع الكاتشب وحش اوي مسكر جدا يموع النفس و بيقلب لون فا محدش يطلب كريب بكاتشب خالص,مطعم,delivery,positive,4
8003,لقد حملت تطبيق عن طريق مستر بيست واريد سيارة تيسلا,ecommerce,app_experience,negative,1
1407,من اجمل المطاعم التي اكلت فيها اكل عربي يمني. ويتميز المطعم بالاتساع وتعدد الاماكن الخاصةمما يعطيك الاحساس بالراحة انت وعائلتك او اصدقاؤك .,مطعم يمني,food,positive,5
9273,جميلة,entertainment,general,positive,5
692,"The place is great , clean , service excellent, the food is very delicious, excellent quality Chef Nawaf is doing his job perfectly المكان اكثر من رائع ، النضافة عشرة علي عشرة، الخدمة ممتازة ، الاكل تحفة، جودة عالية، الشيف نواف لطيف جدا و احترافية ممتازة.",مطعم,food,positive,5
692,"The place is great , clean , service excellent, the food is very delicious, excellent quality Chef Nawaf is doing his job perfectly المكان اكثر من رائع ، النضافة عشرة علي عشرة، الخدمة ممتازة ، الاكل تحفة، جودة عالية، الشيف نواف لطيف جدا و احترافية ممتازة.",مطعم,service,positive,5
692,"The place is great , clean , service excellent, the food is very delicious, excellent quality Chef Nawaf is doing his job perfectly المكان اكثر من رائع ، النضافة عشرة علي عشرة، الخدمة ممتازة ، الاكل تحفة، جودة عالية، الشيف نواف لطيف جدا و احترافية ممتازة.",مطعم,cleanliness,positive,5
692,"The place is great , clean , service excellent, the food is very delicious, excellent quality Chef Nawaf is doing his job perfectly المكان اكثر من رائع ، النضافة عشرة علي عشرة، الخدمة ممتازة ، الاكل تحفة، جودة عالية، الشيف نواف لطيف جدا و احترافية ممتازة.",مطعم,ambiance,positive,5
2028,سي جدا جدا جدا والله والله والله مفيش مسؤول موجود. مطعم فاشل فاشل,مطعم أطباق اللحوم,food,negative,1
2028,سي جدا جدا جدا والله والله والله مفيش مسؤول موجود. مطعم فاشل فاشل,مطعم أطباق اللحوم,ambiance,negative,1
5360,الويتر(الذي ياخذ الاوردور) قمة في الغرور.....,مقهى,general,neutral,3
5696,ان الدكتور خالد من الاطباء المتميزين الذين قمت بزيارتهم. يتميز عمله بالدقة العالية، ويلاحظ اهتمامه الفائق بمعايير التعقيم. ان كفاءته واخلاصه في العمل لا يضاهيهما شيء، والفرق في جودة الخدمة واضح تماما. لقد لفت انتباهي بشكل خاص اهتمامه بتقديم شرح مفصل وتوضيح للاجراءات التي يقوم بها قبل وبعد كل خطوة، بالاضافة الي تفسيره الوافي لكل التفاصيل. لم اجد من قبل طبيب يولي هذا القدر من الاهتمام ويخصص الوقت الكافي للمراجعين بهذه الطريقة الاحترافية علاوة علي ذلك، تتميز العيادة بتصميمها الجمالي الذي يعكس ذوقا رفيعا، حيث تذكرنا كل تفصيلة فيها باللحظات الجميلة، بدءا من التصميم العام والثريات، وصولا للموسيقي الهادئة والجميلة التي يحرص الدكتور خالد علي تشغيلها دائما كما اتقدم بخالص الشكر والتقدير للدكتور خالد,عِيادة أسنان,food,positive,5
5696,ان الدكتور خالد من الاطباء المتميزين الذين قمت بزيارتهم. يتميز عمله بالدقة العالية، ويلاحظ اهتمامه الفائق بمعايير التعقيم. ان كفاءته واخلاصه في العمل لا يضاهيهما شيء، والفرق في جودة الخدمة واضح تماما. لقد لفت انتباهي بشكل خاص اهتمامه بتقديم شرح مفصل وتوضيح للاجراءات التي يقوم بها قبل وبعد كل خطوة، بالاضافة الي تفسيره الوافي لكل التفاصيل. لم اجد من قبل طبيب يولي هذا القدر من الاهتمام ويخصص الوقت الكافي للمراجعين بهذه الطريقة الاحترافية علاوة علي ذلك، تتميز العيادة بتصميمها الجمالي الذي يعكس ذوقا رفيعا، حيث تذكرنا كل تفصيلة فيها باللحظات الجميلة، بدءا من التصميم العام والثريات، وصولا للموسيقي الهادئة والجميلة التي يحرص الدكتور خالد علي تشغيلها دائما كما اتقدم بخالص الشكر والتقدير للدكتور خالد,عِيادة أسنان,service,positive,5
